tot_credit_debt,avg_card_debt,credit_age,credit_good_age,card_age,non_mtg_acc_past_due_12_months_num,non_mtg_acc_past_due_6_months_num,mortgages_past_due_6_months_num,credit_past_due_amount,inq_12_month_num,card_inq_24_month_num,card_open_36_month_num,auto_open_36_month_num,uti_card,uti_50plus_pct,uti_max_credit_line,uti_card_50plus_pct,ind_acc_XYZ,rep_income,Default_ind,goodbad,class_pred_fair,class_pred_orig,States
87891.84,15423.44,277,141,217,0,0,0,0,3,4,0,0,0.628051517,0.539086437,0.64529182,0.662244454,0,97000,0,Good,1,0,FL
89834.85,12419.44,280,130,201,0,0,0,0,1,2,0,0,0.408574231,0.412636459,0.47025634,0.317047581,0,91000,0,Good,0,0,GA
118299.06,18289.52,314,171,265,0,0,0,0,4,6,0,0,0.576679012,0.404049259,0.574546179,0.607135661,0,64000,0,Good,1,1,LA
65056.05,11720.67,330,171,265,0,0,0,0,0,0,1,1,0.659533827,0.80235049,0.763697373,0.589734839,0,75000,0,Good,1,1,GA
125052.6,15959.26,359,166,332,0,0,0,0,1,2,0,1,0.489462294,0.431246613,0.442733167,0.426352512,0,81000,0,Good,0,0,FL
97897.83,11117.51,270,135,206,0,0,0,0,0,1,0,0,0.648889104,0.668475146,0.5771206,0.65689074,0,83000,0,Good,1,0,GA
112533.11,13337.35,327,176,315,0,0,0,0,0,1,0,0,0.399262709,0.527735634,0.536454988,0.508045903,0,59000,0,Good,0,0,GA
101571.21,12170.2,267,136,224,1,0,0,0,1,3,1,0,0.437173521,0.383536832,0.564298695,0.490074487,0,52000,0,Good,1,0,NC
100539.19,15185.15,204,99,187,0,0,0,0,1,3,0,0,0.670208421,0.607957488,0.626646138,0.745647659,0,85000,0,Good,1,1,LA
76203.83,13476.79,290,167,267,0,0,0,0,3,5,1,0,0.431023201,0.495620377,0.425147126,0.421429417,0,48000,0,Good,0,0,NC
114703.08,17342.46,422,216,387,0,0,0,0,0,0,0,0,0.630679109,0.631294432,0.552903247,0.636289589,1,68000,0,Good,1,0,AL
74157.16,12016.67,168,122,141,0,0,0,0,1,5,0,0,0.617988227,0.609396081,0.4996219,0.472555978,0,107000,0,Good,0,0,MS
113502.93,10150.4,351,168,297,0,0,0,0,4,8,0,0,0.444174621,0.465631123,0.441549901,0.477963516,0,86000,0,Good,0,0,FL
109652.25,17362.91,344,161,343,0,0,0,0,1,3,0,0,0.480162443,0.407927173,0.525594705,0.430698654,0,83000,0,Good,0,0,SC
72935.82,12987.21,413,178,350,0,0,0,0,4,4,0,0,0.528453761,0.55354277,0.608245063,0.400966935,0,43000,0,Good,0,0,AL
127399.85,14349.88,379,174,346,0,0,0,0,3,5,0,0,0.572958264,0.502882602,0.545957171,0.654841369,0,75000,0,Good,0,0,GA
46701.41,6097.88,316,162,288,0,0,0,0,1,2,0,0,0.552505153,0.564296419,0.586934019,0.531430401,0,63000,1,Bad,1,1,FL
72727.61,9323.71,420,195,353,2,1,1,9332.87,3,7,0,0,0.61373684,0.655699991,0.639357912,0.490074487,0,60000,1,Bad,1,1,AL
107858.23,14757.16,314,165,299,2,1,1,13718.44,4,6,0,0,0.562753254,0.559475463,0.5661757,0.684085103,0,95000,1,Bad,1,1,LA
82141.32,12118.59,364,206,307,0,0,0,0,0,3,0,0,0.493791298,0.43268745,0.418519208,0.494520833,0,56000,0,Good,0,0,GA
74047.59,10779.95,232,132,180,1,1,0,0,2,3,0,0,0.348105295,0.334638931,0.47448447,0.417179893,0,94000,1,Bad,1,0,FL
78682.05,11813.98,342,202,287,0,0,0,0,3,5,0,1,0.613647533,0.48954418,0.592966594,0.490074487,0,76000,0,Good,0,0,FL
120903.73,16533.58,295,129,252,0,0,0,0,5,10,0,0,0.472558571,0.524260639,0.501675362,0.490074487,0,74000,0,Good,0,1,SC
79897.76,11367.27,341,160,308,0,0,0,0,1,5,0,1,0.436818188,0.683257964,0.387937895,0.418617541,0,95000,0,Good,0,0,LA
109993.97,17918.93,307,179,273,0,0,0,0,3,5,1,1,0.471089194,0.508729629,0.409960568,0.518065655,0,62000,0,Good,0,0,MS
128713.2,15654.32,287,173,217,0,0,0,0,2,4,0,0,0.418719736,0.516874648,0.448412937,0.367050441,0,100000,0,Good,0,0,AL
86306.43,17211.49,278,148,273,0,0,0,0,0,1,0,0,0.503509264,0.53213493,0.450056873,0.442403423,1,96000,0,Good,0,0,LA
71011.12,10627.39,297,144,269,0,0,0,0,1,2,0,0,0.698476818,0.43102262,0.727193919,0.654056177,0,105000,0,Good,1,0,SC
123212.82,15000.41,305,135,302,0,0,0,0,5,6,0,0,0.535937439,0.467916034,0.63285192,0.519259181,1,88000,0,Good,0,0,AL
108146.38,11183.96,263,176,251,0,0,0,0,1,0,0,0,0.633880801,0.550461106,0.538526761,0.64042837,1,84000,0,Good,0,0,GA
97734.97,12616.02,277,148,238,0,0,0,0,3,6,0,0,0.422162697,0.474343515,0.380373427,0.454392686,0,85000,0,Good,0,0,FL
105262.11,11416.22,314,188,266,0,0,0,0,3,6,0,0,0.570816505,0.690585205,0.497397976,0.695090662,1,59000,0,Good,0,0,GA
75811.72,11639.89,312,131,302,1,0,0,0,1,4,0,0,0.473997728,0.317807006,0.495356933,0.440121299,0,75000,0,Good,1,0,GA
56688.07,9710.3,289,161,285,0,0,0,0,0,0,0,0,0.539300787,0.49473252,0.549331452,0.47655587,1,66000,0,Good,0,0,AL
102950.83,12453.85,207,137,149,0,0,0,0,0,0,0,0,0.567026996,0.538324482,0.70460763,0.490074487,0,122000,0,Good,0,0,LA
75349.4,11513.31,321,179,293,0,0,0,0,2,2,1,0,0.56078845,0.577129479,0.686986711,0.629144523,0,75000,0,Good,0,0,NC
93668,10687.57,252,178,201,1,0,0,0,0,2,0,0,0.606734619,0.470291186,0.693248931,0.554984754,0,64000,0,Good,1,1,LA
78473.14,9426.3,281,128,273,1,1,0,0,1,3,0,0,0.544756346,0.522542828,0.650353277,0.535229097,0,101000,1,Bad,1,1,SC
90814.47,11718.83,318,151,314,0,0,0,0,0,4,0,0,0.518690627,0.526883874,0.517512483,0.490074487,0,66000,0,Good,0,0,NC
89121.5,13193.84,266,166,250,0,0,0,0,5,9,0,0,0.302626194,0.367050131,0.275617218,0.343673195,0,91000,0,Good,0,0,LA
83723.93,10924.25,348,190,315,0,0,0,0,6,8,0,1,0.539065458,0.585023891,0.636910367,0.550001309,0,75000,0,Good,0,0,MS
84304.6,12223.57,221,115,210,0,0,0,0,0,0,0,0,0.398159066,0.522863549,0.377742115,0.443871109,1,94000,0,Good,0,0,SC
115344.92,99999,253,107,241,0,0,0,0,0,4,0,0,0.468564077,0.437725582,0.533610804,0.404431361,1,71000,0,Good,1,1,GA
96627.57,13063.35,313,165,293,0,0,0,0,0,1,0,0,0.393779475,0.421800468,0.32045853,0.367359822,0,91000,1,Bad,0,0,GA
69544.39,13475.82,246,115,218,0,0,0,0,0,1,0,0,0.386137122,0.298846542,0.547576494,0.362320167,0,49000,0,Good,0,0,GA
84579.92,14898.56,195,128,176,0,0,0,0,0,0,0,0,0.518100982,0.496318099,0.466285621,0.539932343,1,75000,0,Good,0,0,SC
117359.7,18304.64,226,141,180,0,0,0,0,1,2,0,0,0.610982678,0.828420803,0.744367195,0.511354718,0,80000,1,Bad,1,1,AL
74364.25,16017.4,341,169,294,0,0,0,0,2,4,0,0,0.422925004,0.507507199,0.325603953,0.332567914,0,76000,0,Good,0,0,NC
86595.83,13513.08,359,185,342,0,0,0,0,0,2,0,0,0.464825633,0.495573273,0.425329877,0.490074487,0,75000,0,Good,0,0,GA
100935.28,15260.98,484,200,479,0,0,0,0,0,0,0,0,0.705089377,0.520109646,0.524453391,0.660817006,0,76000,0,Good,1,0,FL
59846.04,12417.57,509,223,489,0,0,0,0,3,7,0,0,0.670351981,0.681564368,0.558658033,0.693029993,0,77000,0,Good,1,0,SC
74714.54,13783.43,280,118,218,0,0,0,0,1,1,0,0,0.405528182,0.398276352,0.479853514,0.550407915,0,56000,0,Good,0,0,LA
77784.5,13657.59,225,132,207,0,0,0,0,2,2,0,0,0.38273477,0.345842865,0.524639294,0.390793638,1,80000,0,Good,0,0,LA
86422.1,13214.91,363,216,325,0,0,0,0,0,0,0,1,0.466767816,0.410543926,0.398000318,0.490074487,0,85000,0,Good,0,0,AL
38664.14,8368.1,292,161,292,0,0,0,0,0,1,0,1,0.428737407,0.413749811,0.391505581,0.336517539,1,85000,1,Bad,0,0,GA
55631.77,11000.12,332,204,307,0,0,0,0,1,3,0,0,0.291982028,0.333684655,0.417584996,0.301967325,1,71000,0,Good,0,0,FL
95140.14,12719.69,243,127,218,0,0,0,0,4,5,0,0,0.546916069,0.678805185,0.52105597,0.430142584,1,75000,0,Good,0,0,GA
89276.2,13079.72,364,222,343,0,0,0,0,0,0,0,0,0.426448095,0.458738444,0.375996351,0.389693073,0,77000,0,Good,0,0,AL
105468.55,14901.51,367,183,354,0,0,0,0,4,8,0,1,0.471854908,0.451842885,0.365727063,0.5012656,0,83000,0,Good,0,0,AL
114380.12,14563.67,239,104,226,0,0,0,0,2,5,1,1,0.458444025,0.602743921,0.381048153,0.392335972,0,88000,0,Good,0,0,FL
100833.43,11092.68,378,204,377,1,0,0,0,0,0,0,0,0.671428021,0.572095617,0.709627337,0.746085561,0,77000,0,Good,1,1,SC
115616.58,16848.4,335,168,272,0,0,0,0,3,6,0,0,0.456069062,0.53091278,0.427952137,0.355812655,0,75000,0,Good,0,0,SC
126851.46,14780.78,160,55,140,0,0,0,0,0,2,0,1,0.284926016,0.37646518,0.460747977,0.329107456,0,78000,0,Good,0,0,AL
77625.26,13486.61,270,142,198,2,1,1,17377.87,0,0,0,0,0.548338684,0.61282305,0.52108719,0.564635075,0,75000,1,Bad,1,1,SC
78772.92,9368.06,361,168,280,0,0,0,0,4,3,0,0,0.469053656,0.402325489,0.519008798,0.490074487,0,78000,0,Good,0,0,AL
66353.58,7949.94,248,99,211,0,0,0,0,0,2,0,1,0.552395265,0.423261196,0.63264133,0.466265958,0,103000,0,Good,1,1,AL
85495.08,12953.93,401,191,354,0,0,0,0,1,1,0,0,0.569167758,0.454550034,0.544522218,0.644294596,1,92000,0,Good,0,0,LA
97323.81,10181.78,341,145,283,0,0,0,0,0,0,1,0,0.699984051,0.596628838,0.441613779,0.628161822,1,57000,0,Good,1,0,NC
157765.22,99999,321,146,301,0,0,0,0,3,7,0,0,0.596514058,0.655834417,0.646426784,0.588249288,0,84000,1,Bad,1,1,LA
63317.18,10328.32,244,104,241,0,0,0,0,3,5,0,0,0.629834641,0.741014655,0.677094284,0.490074487,0,67000,0,Good,1,1,NC
96199.91,12078.8,242,110,230,0,0,0,0,1,0,0,0,0.667278538,0.582863277,0.636301368,0.75550753,0,78000,0,Good,1,0,LA
83585.68,10093.6,279,197,255,0,0,0,0,3,9,0,0,0.616801472,0.618248753,0.56690052,0.670998692,0,82000,0,Good,1,0,AL
92309.13,14646.63,205,134,197,0,0,0,0,1,0,0,0,0.46804647,0.531161236,0.472947197,0.510845798,1,83000,0,Good,0,0,NC
73092.67,13121.33,351,176,288,0,0,0,0,0,0,0,0,0.368597221,0.510581592,0.321277898,0.363998726,1,91000,0,Good,0,0,LA
117027.41,15833.07,366,204,356,0,0,0,0,0,0,1,1,0.417170871,0.403998158,0.314816582,0.411100556,1,52000,0,Good,0,0,FL
48291.53,10386.82,271,139,249,0,0,0,0,0,1,0,1,0.408530169,0.522380927,0.383767468,0.361013177,0,72000,0,Good,0,0,SC
82469.47,12031.52,354,177,344,0,0,0,0,4,6,0,0,0.611407256,0.689384993,0.503372993,0.583374048,1,75000,0,Good,0,0,GA
91629.04,10963.54,338,148,338,0,0,0,0,2,5,0,0,0.527962265,0.517812408,0.550036438,0.476164362,0,78000,0,Good,0,0,GA
98548.16,14131.14,334,204,300,0,0,0,0,6,10,0,0,0.450513041,0.528224042,0.578223569,0.414384579,0,93000,0,Good,0,0,NC
113401.36,11249.14,399,201,378,0,0,0,0,0,0,0,0,0.295562755,0.480076424,0.378378652,0.202781621,1,102000,0,Good,0,0,FL
65585.16,8246.84,330,142,319,0,0,0,0,2,6,0,0,0.678575693,0.719077915,0.727553368,0.705864788,0,97000,0,Good,1,1,LA
61790.03,8467.02,277,165,253,0,0,0,0,1,2,0,0,0.635912987,0.605179486,0.615665414,0.58425615,0,75000,0,Good,1,1,AL
100786.28,13734.09,261,154,228,0,0,0,0,0,0,0,1,0.762873026,0.735181872,0.682407682,0.642851145,0,102000,0,Good,1,1,AL
107204.21,14260.69,174,85,159,1,1,0,0,2,4,0,0,0.661719707,0.632411093,0.730146143,0.601551003,0,67000,0,Good,1,1,GA
136579.3,14742.84,180,99,168,0,0,0,0,2,7,0,0,0.662365511,0.747010893,0.591813201,0.600608388,0,82000,0,Good,0,0,FL
96624.34,14016.35,273,145,248,0,0,0,0,2,7,0,0,0.465430947,0.549742078,0.493895372,0.392351209,0,56000,0,Good,0,0,SC
68846.92,10174.03,193,120,177,0,0,0,0,0,0,0,0,0.477468417,0.527349872,0.528109652,0.551116054,0,75000,0,Good,0,0,NC
112594.39,13878.5,269,140,216,0,0,0,0,2,4,0,0,0.498622531,0.493050147,0.486156749,0.490074487,0,57000,0,Good,0,0,MS
90819.1,8890.45,314,159,276,0,0,0,0,2,1,0,0,0.421266848,0.410883632,0.397210699,0.323755136,0,73000,0,Good,0,0,FL
124443.93,13763.6,321,140,277,0,0,0,0,1,3,0,0,0.528661757,0.608283205,0.532287294,0.612470974,0,65000,0,Good,0,0,AL
68925.59,9105.72,294,142,275,0,0,0,0,2,5,0,0,0.579309961,0.674010345,0.633657786,0.592196861,1,75000,0,Good,1,1,GA
117744.23,15490.19,317,174,304,0,0,0,0,0,1,0,0,0.489383801,0.683972529,0.576543255,0.446744901,0,86000,0,Good,0,0,SC
76240.6,12640.37,338,179,277,0,0,0,0,3,4,0,0,0.472154989,0.564066958,0.499738396,0.405930099,0,82000,0,Good,0,0,FL
120543.37,14402.41,411,206,388,0,0,0,0,2,1,0,0,0.682923543,0.660303783,0.593321415,0.617908084,0,73000,0,Good,1,0,SC
48697.9,12024.71,262,160,226,0,0,0,0,0,1,0,0,0.436863122,0.35492198,0.543754707,0.408508057,1,97000,0,Good,0,0,NC
61174.62,10510.15,312,137,311,0,0,0,0,4,8,0,0,0.304592153,0.318402058,0.340056475,0.303801884,0,82000,0,Good,0,0,MS
81053.71,13348.12,292,134,252,0,0,0,0,0,2,1,0,0.578288463,0.544602425,0.701829867,0.44070716,0,98000,0,Good,0,0,FL
109079.8,13670.18,242,113,221,0,0,0,0,1,2,0,0,0.412743185,0.399263248,0.498006512,0.438322948,0,78000,0,Good,0,0,NC
124279.98,14576.5,260,133,228,0,0,0,0,0,2,1,1,0.538494888,0.499674385,0.516064713,0.452668061,1,69000,1,Bad,0,0,AL
94004.35,99999,284,160,280,0,0,0,0,0,0,0,0,0.588860921,0.496569753,0.570630183,0.616603339,0,108000,0,Good,1,1,SC
79303.92,12243.65,387,193,294,0,0,0,0,4,6,0,0,0.717932325,0.776543569,0.783917101,0.589431789,1,58000,0,Good,1,0,GA
115677.18,14750.26,341,144,318,0,0,0,0,0,1,0,0,0.430970641,0.383287766,0.445544517,0.3774731,0,61000,0,Good,0,0,GA
119222.91,14983.48,200,85,177,0,0,0,0,0,0,0,0,0.63623361,0.643850675,0.723168341,0.639015018,0,82000,0,Good,1,1,AL
74256.9,10935.06,319,193,303,0,0,0,0,2,2,0,0,0.494741074,0.576897141,0.48637679,0.441712133,1,75000,0,Good,0,0,MS
136591.55,19022.21,378,184,373,0,0,0,0,4,9,0,0,0.695556041,0.667428834,0.500218672,0.647063349,0,80000,0,Good,1,1,NC
87137.32,12588.17,284,155,237,0,0,0,0,4,7,0,0,0.548005662,0.561507019,0.489929197,0.539713572,0,66000,0,Good,0,0,SC
75873.81,8950.18,350,174,347,0,0,0,0,2,2,2,1,0.390163703,0.446705209,0.49254732,0.256900663,1,99000,0,Good,0,0,GA
134332.91,17795.68,327,161,311,1,0,0,0,2,4,0,0,0.807000824,0.769391679,0.704857725,0.678929041,0,108000,1,Bad,1,1,SC
134490.14,16834.21,266,118,252,0,0,0,0,3,4,0,0,0.585554902,0.665169822,0.557051824,0.629406838,0,56000,0,Good,1,1,FL
94119.24,15665.94,242,127,200,1,0,0,0,3,5,0,0,0.466745126,0.531606655,0.409479449,0.341397249,1,100000,0,Good,1,1,NC
64635.03,9699.86,225,100,191,0,0,0,0,0,2,0,1,0.318393119,0.486073735,0.494262518,0.377951967,0,80000,0,Good,0,0,MS
86086.79,8645.37,348,156,344,0,0,0,0,3,6,1,0,0.397210569,0.48032259,0.347437774,0.45860272,0,93000,0,Good,0,0,FL
71347.49,11879.71,301,156,272,0,0,0,0,6,12,0,0,0.684909342,0.682027885,0.632654902,0.627739761,0,78000,0,Good,1,0,SC
105502.6,15178.96,178,97,165,1,0,0,0,5,8,0,0,0.464274897,0.50189011,0.395342244,0.465836884,0,69000,0,Good,1,1,GA
103836.23,14710.97,334,197,281,0,0,0,0,2,5,0,0,0.6797029,0.542453767,0.727931011,0.742860896,0,66000,0,Good,1,0,NC
58318.18,12106.13,351,188,344,0,0,0,0,5,3,0,0,0.422236503,0.508725825,0.511476417,0.322165539,0,67000,0,Good,0,0,SC
89913.45,10321.26,296,119,292,0,0,0,0,3,4,0,0,0.452696458,0.475423702,0.589612739,0.306070314,0,75000,0,Good,0,0,GA
161507.43,99999,376,181,347,0,0,0,0,0,0,0,0,0.468344875,0.412617797,0.563232411,0.531783372,0,49000,1,Bad,1,1,MS
118825.75,13879.57,312,155,281,0,0,0,0,1,3,0,1,0.567898977,0.522301073,0.626173132,0.598477569,0,86000,0,Good,0,0,AL
92913.18,12681.32,426,179,352,0,0,0,0,5,8,0,0,0.511296044,0.452091586,0.453963518,0.602524548,0,65000,0,Good,0,0,NC
102598.09,15735.96,415,221,400,0,0,0,0,1,5,0,0,0.562942311,0.489246765,0.66042396,0.584396452,1,75000,0,Good,0,0,GA
96108.81,9214.01,273,191,236,0,0,0,0,3,4,0,0,0.491729987,0.377587694,0.567845825,0.528817371,1,67000,0,Good,1,1,FL
119070.86,13491.55,286,155,285,0,0,0,0,5,9,1,0,0.432289562,0.402817745,0.494641867,0.490074487,0,46000,0,Good,0,0,NC
85088.32,12582.74,258,124,246,0,0,0,0,0,0,0,0,0.593990661,0.636133505,0.653781736,0.537569046,0,65000,0,Good,0,0,LA
79662.94,11491.69,196,108,159,0,0,0,0,3,6,0,0,0.504217464,0.489210413,0.349703329,0.565359295,1,71000,0,Good,0,0,SC
104636.56,14525.27,268,110,239,0,0,0,0,0,2,0,0,0.433431254,0.520927323,0.494317216,0.461052099,1,49000,0,Good,0,0,GA
100935.83,12450.91,232,121,206,0,0,0,0,1,1,0,0,0.403254444,0.501816819,0.32798892,0.547184476,1,79000,0,Good,0,0,AL
57129.84,9473.22,283,123,260,0,0,0,0,1,5,0,0,0.418542561,0.321211076,0.483239208,0.328103814,0,95000,0,Good,0,0,AL
110124.14,15852.7,295,170,275,0,0,0,0,0,3,0,0,0.594462713,0.67923902,0.593750325,0.595508986,1,85000,0,Good,0,0,SC
79717.76,14845.72,245,125,219,0,0,0,0,0,2,0,0,0.454001834,0.416261902,0.457859733,0.569940163,0,75000,0,Good,0,0,NC
108808.34,14200.87,293,141,263,0,0,0,0,3,3,2,0,0.554386485,0.509942452,0.473029954,0.490074487,0,71000,0,Good,0,0,LA
124127.76,19674.26,239,159,224,2,1,1,12366.8,2,4,0,0,0.605232175,0.570294323,0.674147529,0.490074487,0,60000,1,Bad,1,1,LA
100807.4,13756,119,52,103,0,0,0,0,2,3,0,0,0.465844198,0.409333742,0.44446396,0.481325594,0,113000,0,Good,0,0,GA
79936.02,10336.34,207,104,195,0,0,0,0,0,0,0,0,0.391052415,0.4023032,0.301069876,0.490074487,0,73000,0,Good,0,0,SC
77680.69,9869.87,274,132,239,0,0,0,0,0,2,0,0,0.644849109,0.65215142,0.634823965,0.642849612,1,67000,0,Good,1,1,MS
87497.14,9835.28,228,113,228,0,0,0,0,2,3,0,0,0.608447999,0.620662977,0.555656167,0.53316995,0,78000,1,Bad,1,0,NC
90580.92,12526.65,318,204,257,0,0,0,0,0,0,0,0,0.503103673,0.413668692,0.544133656,0.539740962,1,105000,0,Good,0,0,MS
119250.04,13280.32,379,183,353,0,0,0,0,0,2,0,0,0.429399002,0.547178397,0.396617631,0.396888486,0,67000,0,Good,0,0,SC
87176.27,10899.34,259,110,237,2,1,1,10990.41,1,1,0,0,0.49251614,0.465639577,0.512358264,0.482971019,1,76000,0,Good,1,1,AL
94827.51,15487.56,249,154,249,0,0,0,0,0,1,0,0,0.328709895,0.45654186,0.473741261,0.289605075,0,28000,0,Good,0,0,MS
96872.02,12182.72,386,173,374,0,0,0,0,4,7,0,1,0.487216574,0.516774839,0.558561593,0.547868197,0,105000,0,Good,0,0,SC
84625.39,10613.71,307,162,284,0,0,0,0,3,5,0,0,0.691442191,0.594511943,0.705817444,0.749816852,0,88000,0,Good,1,1,SC
102954.65,15280.68,220,129,188,0,0,0,0,2,8,1,1,0.622916354,0.658898727,0.555812734,0.573297621,0,58000,0,Good,0,0,MS
89492.78,11189.59,274,122,240,0,0,0,0,1,1,1,0,0.580650412,0.637616293,0.512197112,0.562851429,0,82000,0,Good,0,0,MS
124270.39,15189.46,294,160,278,0,0,0,0,1,3,0,0,0.579292099,0.595157574,0.647235112,0.518393026,0,75000,0,Good,0,0,FL
91735.31,15545.18,337,186,269,0,0,0,0,0,2,0,0,0.541956017,0.468314016,0.552260889,0.599804926,0,68000,0,Good,0,0,MS
119880.8,12682.88,269,155,251,0,0,0,0,0,1,0,0,0.34234663,0.263955773,0.49007177,0.34867705,1,70000,0,Good,0,0,SC
152581.63,99999,333,147,332,0,0,0,0,0,0,0,0,0.487820232,0.453428609,0.295754071,0.457742945,0,79000,0,Good,1,1,SC
106330.34,19390.72,224,118,193,0,0,0,0,3,6,0,0,0.421535643,0.506681369,0.462854631,0.403403367,1,73000,1,Bad,1,1,NC
110608.93,12274.94,347,172,340,0,0,0,0,2,4,0,0,0.454952993,0.507606259,0.354905405,0.357659618,0,86000,0,Good,0,0,GA
134898,14633.14,306,180,289,0,0,0,0,3,7,0,0,0.361714813,0.244102671,0.429663208,0.490399921,0,61000,0,Good,0,0,MS
132575.55,18319.58,314,167,268,0,0,0,0,0,0,0,0,0.470946633,0.608167646,0.455478876,0.490074487,0,86000,0,Good,0,0,AL
85967.09,13759.58,313,177,302,2,1,1,9196.46,4,9,0,0,0.490341312,0.478898891,0.550440124,0.485686881,0,88000,1,Bad,1,1,AL
128198.82,15220.17,345,159,319,0,0,0,0,1,4,1,0,0.688154818,0.650597834,0.738299629,0.646473761,0,95000,0,Good,1,0,AL
98922.31,16328.28,328,156,291,0,0,0,0,4,7,0,0,0.501283911,0.518525071,0.433800541,0.486934142,0,51000,0,Good,1,0,LA
88389.7,15116.49,297,150,259,0,0,0,0,0,0,0,0,0.584813232,0.652592977,0.539704467,0.548699168,0,90000,0,Good,0,0,LA
